FID,DHSID,DHSCLUST,LAT,LONG,ITN_Covera
1213,KE201400001523,1523,0.019806,34.624584,0.595598592
1214,KE201400001525,1525,0.074189,34.689696,0.585399442
1215,KE201400001526,1526,0.078289,34.710857,0.572461381
1216,KE201400001527,1527,0.065476,34.644531,0.593535714
1217,KE201400001528,1528,0.108326,34.605629,0.596637599
1218,KE201400001529,1529,0.09754,34.717246,0.579845569
1219,KE201400001530,1530,0.02467,34.648964,0.590167895
1220,KE201400001531,1531,0.04196,34.562168,0.604451336
1221,KE201400001532,1532,0.031064,34.615387,0.594999186
1222,KE201400001533,1533,0.023385,34.56349,0.593981708
1223,KE201400001534,1534,0.042106,34.574854,0.592787749
1224,KE201400001535,1535,0.05744,34.576782,0.599652082
1225,KE201400001536,1536,0.035636,34.599667,0.589588255
1226,KE201400001537,1537,0.06208,34.778611,0.5645428
1227,KE201400001538,1538,0.023683,34.763253,0.573530126
1228,KE201400001539,1539,0.129731,34.796222,0.556780525
1229,KE201400001540,1540,0.170496,34.818745,0.551826811
1230,KE201400001541,1541,0.128779,34.823048,0.553987304
1231,KE201400001542,1542,0.053751,34.83548,0.564327496
1232,KE201400001543,1543,0.032115,34.78624,0.570531774
1233,KE201400001544,1544,0.576173,34.557147,0.547210919
1234,KE201400001545,1545,0.58316,34.559365,0.547210919
1235,KE201400001546,1546,0.556065,34.551876,0.547210919
1236,KE201400001547,1547,0.575549,34.518346,0.567330257
1237,KE201400001548,1548,0.549611,34.619532,0.574857538
1238,KE201400001549,1549,0.479437,34.609508,0.582363535
1239,KE201400001550,1550,0.568496,34.637875,0.574017083
1240,KE201400001551,1551,0.547832,34.420345,0.576188036
1241,KE201400001552,1552,0.485592,34.490674,0.581863386
1242,KE201400001553,1553,0.678489,34.476133,0.564038175
1243,KE201400001554,1554,0.591605,34.436439,0.570812418
1244,KE201400001555,1555,0.535798,34.412208,0.578380123
1245,KE201400001556,1556,0.772745,34.973083,0.547329576
1246,KE201400001557,1557,0.848991,34.987144,0.526121735
1247,KE201400001558,1558,0.808738,34.868153,0.537956043
1248,KE201400001559,1559,0.698363,34.821518,0.549453272
1249,KE201400001560,1560,0.730196,34.740936,0.550153301
1250,KE201400001561,1561,0.771927,34.716742,0.559174519
1251,KE201400001562,1562,0.77874,34.75114,0.538370208
1252,KE201400001563,1563,0.860435,34.760318,0.541828271
1253,KE201400001564,1564,0.812648,34.642805,0.547473015
1254,KE201400001565,1565,0.611836,34.760608,0.550018009
1255,KE201400001566,1566,0.578253,34.776632,0.557045152
1256,KE201400001567,1567,0.55353,34.752191,0.568152437
1257,KE201400001568,1568,0.702013,34.64878,0.562263139
1258,KE201400001569,1569,0.714867,34.82787,0.548958786
1259,KE201400001570,1570,0.633658,34.757703,0.553622146
1260,KE201400001571,1571,0.656155,34.810907,0.553280322
1261,KE201400001572,1572,0.764092,34.546079,0.558074818
1262,KE201400001573,1573,0.697663,34.442202,0.562732238
1263,KE201400001574,1574,0.703919,34.602214,0.565110472
1264,KE201400001575,1575,0.66294,34.615984,0.567430497
1265,KE201400001576,1576,0.756345,34.640738,0.558061134
1266,KE201400001577,1577,0.790796,34.484547,0.554856708
1267,KE201400001578,1578,0.827789,34.582138,0.555515648
1268,KE201400001579,1579,0.85851,34.765846,0.540248648
1269,KE201400001580,1580,0.439757,34.108762,0.576249815
1270,KE201400001581,1581,0.454,34.1215,0.576249815
1271,KE201400001582,1582,0.446106,34.126216,0.577847477
1272,KE201400001583,1583,0.377535,34.140872,0.601641357
1273,KE201400001584,1584,0.425707,34.184941,0.583889643
1274,KE201400001585,1585,0.43095,34.188571,0.58401322
1275,KE201400001586,1586,0.476385,34.261464,0.58631895
1276,KE201400001587,1587,0.512319,34.391624,0.581208201
1277,KE201400001588,1588,0.459937,34.323731,0.587414247
1278,KE201400001589,1589,0.541424,34.334203,0.580081763
1279,KE201400001590,1590,0.417201,34.342472,0.588073717
1280,KE201400001591,1591,0.384405,34.285201,0.591072116
1281,KE201400001592,1592,0.345087,34.268557,0.590795334
1282,KE201400001593,1593,0.315353,34.255938,0.589859971
1283,KE201400001594,1594,0.727016,34.326847,0.607467655
1284,KE201400001595,1595,0.730415,34.367476,0.574319526
1285,KE201400001596,1596,0.601651,34.22656,0.616066455
1286,KE201400001597,1597,0.627666,34.256786,0.557000963
1287,KE201400001598,1598,0.63677,34.269118,0.557000963
1288,KE201400001599,1599,0.286098,34.058839,0.624221128
1289,KE201400001600,1600,0.284145,34.123192,0.582496969
1290,KE201400001601,1601,0.227144,34.078147,0.588561988
1291,KE201400001602,1602,0.163928,34.058632,0.581767365
1292,KE201400001603,1603,0.091729,33.974271,0.557731204
1293,KE201400001605,1605,0.13255,34.028321,0.578022601
1294,KE201400001606,1606,0.111918,34.006716,0.573721969
1295,KE201400001607,1607,0.6135,34.194321,0.638162058
1296,KE201400001608,1608,0.577623,34.261595,0.585506232
1297,KE201400001609,1609,0.560891,34.248927,0.585527882
1298,KE201400001610,1610,0.500992,34.174886,0.603841204
1299,KE201400001611,1611,0.456166,34.122642,0.576249815
1300,KE201400001612,1612,0.49486,34.156075,0.564753143
